7.95792231126e-206
         7394535 function calls (7386676 primitive calls) in 143.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.004    0.000    0.004    0.000 sre_compile.py:258(_mk_bitmap)
       33    0.004    0.000    0.004    0.000 {method 'draw_text' of '_macosx.GraphicsContext' objects}
        1    0.003    0.003    0.004    0.004 random.py:40(<module>)
      237    0.001    0.000    0.004    0.000 transforms.py:2002(composite_transform_factory)
     2933    0.002    0.000    0.004    0.000 sre_parse.py:195(match)
        1    0.001    0.001    0.004    0.004 axes3d.py:1471(_shade_colors)
      456    0.002    0.000    0.004    0.000 pyparsing_py2.py:485(copy)
      143    0.001    0.000    0.004    0.000 copy.py:66(copy)
       68    0.001    0.000    0.004    0.000 transforms.py:1551(rotate)
        1    0.001    0.001    0.004    0.004 contour.py:4(<module>)
       54    0.000    0.000    0.004    0.000 proj3d.py:209(proj_trans_points)
        1    0.004    0.004    0.004    0.004 arrayprint.py:4(<module>)
      482    0.003    0.000    0.004    0.000 numeric.py:1824(identity)
        1    0.000    0.000    0.004    0.004 figure.py:13(<module>)
      460    0.003    0.000    0.004    0.000 font_manager.py:768(get_size_in_points)
       48    0.000    0.000    0.004    0.000 transforms.py:1156(transform_path_non_affine)
        1    0.001    0.001    0.004    0.004 _internal.py:4(<module>)
       88    0.000    0.000    0.004    0.000 transforms.py:1759(transform_non_affine)
       51    0.000    0.000    0.004    0.000 pyparsing_py2.py:704(copy)
  220/180    0.001    0.000    0.004    0.000 transforms.py:1910(transform)
       73    0.000    0.000    0.004    0.000 transforms.py:968(__init__)
        1    0.001    0.001    0.004    0.004 widgets.py:10(<module>)
       42    0.000    0.000    0.004    0.000 transforms.py:2249(get_transformed_path_and_affine)
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
      384    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       10    0.000    0.000    0.003    0.000 collections.py:453(set_edgecolor)
      364    0.003    0.000    0.003    0.000 font_manager.py:1083(score_stretch)
       36    0.000    0.000    0.003    0.000 axis3d.py:35(tick_update_position)
        1    0.000    0.000    0.003    0.003 __init__.py:52(<module>)
