29
         562568 function calls (559153 primitive calls) in 10.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4346    0.006    0.000    0.007    0.000 sre_parse.py:182(__next)
       13    0.000    0.000    0.007    0.001 backend_agg.py:161(draw_text)
       61    0.002    0.000    0.007    0.000 lines.py:387(recache)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
       10    0.000    0.000    0.007    0.001 axis.py:1159(_copy_tick_props)
        1    0.000    0.000    0.006    0.006 lines.py:4(<module>)
       11    0.000    0.000    0.006    0.001 artist.py:788(__init__)
       11    0.003    0.000    0.006    0.001 artist.py:805(get_aliases)
       30    0.000    0.000    0.006    0.000 lines.py:911(update_from)
        1    0.001    0.001    0.006    0.006 __init__.py:45(<module>)
      251    0.002    0.000    0.006    0.000 transforms.py:100(invalidate)
        6    0.000    0.000    0.006    0.001 string.py:148(substitute)
        1    0.003    0.003    0.006    0.006 subprocess.py:389(<module>)
        1    0.004    0.004    0.006    0.006 polynomial.py:54(<module>)
       38    0.000    0.000    0.006    0.000 pkg_resources.py:1892(normalize_path)
       29    0.002    0.000    0.006    0.000 linalg.py:1588(slogdet)
       11    0.003    0.000    0.006    0.001 artist.py:857(_get_setters_and_targets)
       36    0.000    0.000    0.006    0.000 artist.py:467(set_clip_path)
 1101/414    0.005    0.000    0.006    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.006    0.006 codata.py:23(<module>)
        1    0.004    0.004    0.006    0.006 legendre.py:83(<module>)
        1    0.003    0.003    0.006    0.006 __init__.py:521(<module>)
      398    0.001    0.000    0.005    0.000 artist.py:830(get_valid_values)
      992    0.002    0.000    0.005    0.000 transforms.py:1322(__init__)
      239    0.001    0.000    0.005    0.000 transforms.py:1455(__init__)
     1258    0.003    0.000    0.005    0.000 transforms.py:81(__init__)
        2    0.002    0.001    0.005    0.003 __init__.py:38(<module>)
        1    0.001    0.001    0.005    0.005 dates.py:109(<module>)
        3    0.003    0.001    0.005    0.002 codata.py:780(parse_constants)
        1    0.001    0.001    0.005    0.005 artist.py:1(<module>)
       16    0.000    0.000    0.005    0.000 axis.py:167(set_clip_path)
        1    0.004    0.004    0.005    0.005 hermite.py:59(<module>)
        1    0.002    0.002    0.005    0.005 textpath.py:3(<module>)
       26    0.000    0.000    0.005    0.000 backend_agg.py:184(get_text_width_height_descent)
        1    0.004    0.004    0.005    0.005 hermite_e.py:59(<module>)
        1    0.004    0.004    0.005    0.005 chebyshev.py:87(<module>)
        1    0.000    0.000    0.005    0.005 pkg_resources.py:698(subscribe)
        1    0.004    0.004    0.005    0.005 laguerre.py:59(<module>)
       19    0.000    0.000    0.005    0.000 pkg_resources.py:2755(<lambda>)
       19    0.000    0.000    0.005    0.000 pkg_resources.py:2252(activate)
        1    0.001    0.001    0.005    0.005 cm.py:6(<module>)
        9    0.000    0.000    0.005    0.001 pyparsing_py2.py:1685(__init__)
        1    0.000    0.000    0.005    0.005 platform.py:792(mac_ver)
        1    0.000    0.000    0.005    0.005 platform.py:771(_mac_ver_xml)
       41    0.000    0.000    0.005    0.000 lines.py:650(get_path)
        1    0.001    0.001    0.005    0.005 shutil.py:5(<module>)
     3175    0.003    0.000    0.004    0.000 sre_parse.py:130(__getitem__)
       19    0.000    0.000    0.004    0.000 pkg_resources.py:2343(insert_on)
        1    0.003    0.003    0.004    0.004 axes3d.py:11(<module>)
        1    0.002    0.002    0.004    0.004 sysconfig.py:252(parse_config_h)
      167    0.001    0.000    0.004    0.000 cbook.py:1017(dedent)
        1    0.002    0.002    0.004    0.004 numeric.py:1(<module>)
      376    0.000    0.000    0.004    0.000 pkg_resources.py:1896(_normalize_cached)
       42    0.000    0.000    0.004    0.000 patches.py:162(get_transform)
       50    0.000    0.000    0.004    0.000 markers.py:582(_set_tickright)
        3    0.000    0.000    0.004    0.001 figure.py:304(_set_dpi)
      159    0.000    0.000    0.004    0.000 docstring.py:86(dedent)
     3451    0.004    0.000    0.004    0.000 __init__.py:676(__getitem__)
       50    0.000    0.000    0.004    0.000 markers.py:589(_set_tickup)
        1    0.001    0.001    0.004    0.004 __init__.py:60(<module>)
      220    0.001    0.000    0.004    0.000 numeric.py:1884(identity)
       50    0.000    0.000    0.004    0.000 markers.py:576(_set_tickleft)
        1    0.001    0.001    0.004    0.004 __init__.py:3(<module>)
        1    0.001    0.001    0.004    0.004 index_tricks.py:1(<module>)
18599/17941    0.003    0.000    0.004    0.000 {len}
       50    0.000    0.000    0.004    0.000 markers.py:595(_set_tickdown)
      575    0.004    0.000    0.004    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.003    0.003 pkg_resources.py:1820(declare_namespace)
       39    0.001    0.000    0.003    0.000 backend_agg.py:235(_get_agg_font)
       13    0.003    0.000    0.003    0.000 {built-in method draw_text_image}
       17    0.000    0.000    0.003    0.000 pkg_resources.py:1799(_handle_ns)
        1    0.000    0.000    0.003    0.003 figure.py:13(<module>)
       87    0.000    0.000    0.003    0.000 docstring.py:103(dedent_interpd)
        1    0.001    0.001    0.003    0.003 collections.py:1(<module>)
        1    0.001    0.001    0.003    0.003 tempfile.py:18(<module>)
       52    0.003    0.000    0.003    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.001    0.001    0.003    0.003 ctypeslib.py:51(<module>)
