number of electrons 5
[[ 1.01279911  0.32329498]
 [ 1.1709741   1.20945125]
 [ 1.4161607   0.68041347]
 [ 1.10698975  1.34744279]]
         251990 function calls (248557 primitive calls) in 1.442 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.001    0.000    0.013    0.001 artist.py:929(pprint_setters)
      284    0.008    0.000    0.013    0.000 sre_compile.py:207(_optimize_charset)
        1    0.002    0.002    0.012    0.012 font_manager.py:21(<module>)
       22    0.001    0.000    0.012    0.001 lines.py:464(draw)
    20/18    0.000    0.000    0.012    0.001 axis.py:531(_get_tick2line)
      229    0.001    0.000    0.012    0.000 transforms.py:1616(scale)
        1    0.001    0.001    0.012    0.012 pkg_resources.py:218(_macosx_vers)
    80/69    0.002    0.000    0.012    0.000 posixpath.py:355(realpath)
       23    0.002    0.000    0.012    0.001 text.py:260(_get_layout)
      122    0.000    0.000    0.012    0.000 lines.py:306(set_fillstyle)
        1    0.003    0.003    0.012    0.012 sysconfig.py:287(parse_makefile)
        1    0.001    0.001    0.011    0.011 scale.py:1(<module>)
        5    0.001    0.000    0.011    0.002 common.py:63(factorial)
        1    0.002    0.002    0.011    0.011 backend_bases.py:28(<module>)
        3    0.002    0.001    0.010    0.003 __init__.py:6(<module>)
        1    0.000    0.000    0.010    0.010 axes.py:7440(contour)
        1    0.000    0.000    0.010    0.010 pkg_resources.py:698(subscribe)
        1    0.000    0.000    0.010    0.010 contour.py:1227(__init__)
        1    0.000    0.000    0.010    0.010 contour.py:687(__init__)
       22    0.000    0.000    0.010    0.000 pkg_resources.py:2755(<lambda>)
       22    0.000    0.000    0.010    0.000 pkg_resources.py:2252(activate)
        1    0.002    0.002    0.010    0.010 collections.py:10(<module>)
       14    0.000    0.000    0.010    0.001 pyparsing_py2.py:1809(__init__)
        1    0.001    0.001    0.010    0.010 ticker.py:124(<module>)
        1    0.006    0.006    0.010    0.010 __init__.py:521(<module>)
        2    0.000    0.000    0.009    0.005 axis.py:988(_get_tick_bboxes)
       10    0.000    0.000    0.009    0.001 text.py:709(get_window_extent)
        1    0.000    0.000    0.009    0.009 pkg_resources.py:424(__init__)
        1    0.003    0.003    0.009    0.009 httplib.py:67(<module>)
        2    0.000    0.000    0.009    0.004 axis.py:614(__init__)
       20    0.000    0.000    0.009    0.000 axis.py:408(_get_gridline)
      228    0.008    0.000    0.009    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       20    0.000    0.000    0.009    0.000 axis.py:546(_get_gridline)
        1    0.002    0.002    0.009    0.009 __init__.py:284(<module>)
      880    0.008    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3626    0.002    0.000    0.008    0.000 sre_parse.py:201(get)
        1    0.008    0.008    0.008    0.008 __init__.py:88(<module>)
        1    0.001    0.001    0.008    0.008 decimal.py:116(<module>)
        1    0.000    0.000    0.008    0.008 font_manager.py:927(pickle_load)
        1    0.008    0.008    0.008    0.008 {cPickle.load}
     1239    0.001    0.000    0.008    0.000 numeric.py:252(asarray)
      682    0.001    0.000    0.008    0.000 {method 'all' of 'numpy.ndarray' objects}
       87    0.001    0.000    0.008    0.000 sre_compile.py:361(_compile_info)
   184/80    0.000    0.000    0.008    0.000 axes.py:643(get_yaxis_transform)
   184/80    0.000    0.000    0.008    0.000 axes.py:566(get_xaxis_transform)
      271    0.006    0.000    0.008    0.000 function_base.py:3216(add_newdoc)
      452    0.005    0.000    0.008    0.000 text_file.py:161(readline)
      682    0.001    0.000    0.008    0.000 _methods.py:28(_all)
