         2758605 function calls (2750831 primitive calls) in 27.074 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:500(_get_data_path)
        1    0.000    0.000    0.003    0.003 __init__.py:52(<module>)
        1    0.004    0.004    0.010    0.010 __init__.py:521(<module>)
      312    0.000    0.000    0.000    0.000 __init__.py:536(<lambda>)
        2    0.000    0.000    0.000    0.000 __init__.py:539(_get_data_path_cached)
        1    0.000    0.000    0.001    0.001 __init__.py:572(matplotlib_fname)
        3    0.003    0.001    0.022    0.007 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(ProjectionRegistry)
       15    0.000    0.000    0.000    0.000 __init__.py:62(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:646(RcParams)
        4    0.000    0.000    0.000    0.000 __init__.py:660(__setitem__)
    10207    0.012    0.000    0.012    0.000 __init__.py:676(__getitem__)
        1    0.001    0.001    0.003    0.003 __init__.py:701(rc_params)
        1    0.001    0.001    0.005    0.005 __init__.py:74(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       16    0.000    0.000    0.000    0.000 __init__.py:8(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:81(get_projection_names)
        1    0.014    0.014    0.014    0.014 __init__.py:84(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:952(get_backend)
        9    0.000    0.000    0.000    0.000 __init__.py:964(is_interactive)
        1    0.010    0.010    0.318    0.318 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:50(cubehelix)
        3    0.000    0.000    0.000    0.000 _cm.py:89(get_color_function)
        1    0.000    0.000    0.000    0.000 _datasource.py:148(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:482(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:22(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:45(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:334(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:6(PackageLoader)
       40    0.000    0.000    0.001    0.000 _inspect.py:118(getargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
       31    0.000    0.000    0.001    0.000 _inspect.py:157(formatargspec)
        3    0.000    0.000    0.000    0.000 _inspect.py:159(<lambda>)
        1    0.000    0.000    0.000    0.000 _inspect.py:160(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:212(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:233(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_ctypes)
        1    0.001    0.001    0.004    0.004 _internal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:145(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:20(_is_string_like)
        1    0.000    0.000    0.000    0.000 _iotools.py:231(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:423(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:430(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:437(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1765(<genexpr>)
        1    0.001    0.001    0.001    0.001 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:100(get_all_fig_managers)
        6    0.000    0.000    0.000    0.000 _pylab_helpers.py:114(get_active)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:123(set_active)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:15(Gcf)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:36(get_fig_manager)
        2    0.000    0.000    0.037    0.019 _pylab_helpers.py:47(destroy)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:93(has_fignum)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       40    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       30    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       13    0.000    0.000    0.001    0.000 abc.py:105(register)
    17/13    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        9    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       50    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 add_newdocs.py:4(<module>)
        1    0.001    0.001    0.093    0.093 add_newdocs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 afm.py:304(AFM)
        1    0.001    0.001    0.002    0.002 afm.py:35(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:115(cauchy_sa)
        1    0.000    0.000    0.000    0.000 anneal.py:128(boltzmann_sa)
        1    0.000    0.000    0.000    0.000 anneal.py:14(base_schedule)
        1    0.000    0.000    0.000    0.000 anneal.py:142(_state)
        1    0.000    0.000    0.001    0.001 anneal.py:5(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:92(fast_sa)
        1    0.000    0.000    0.000    0.000 arpack.py:287(ArpackError)
        1    0.000    0.000    0.000    0.000 arpack.py:296(ArpackNoConvergence)
        1    0.000    0.000    0.000    0.000 arpack.py:314(_ArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:385(_SymmetricArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:602(_UnsymmetricArpackParams)
        1    0.001    0.001    0.001    0.001 arpack.py:7(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:903(SpLuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:923(LuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:937(IterInv)
        1    0.000    0.000    0.000    0.000 arpack.py:967(IterOpInv)
        1    0.000    0.000    0.000    0.000 array_printer.py:2(<module>)
        4    0.000    0.000    0.018    0.005 arrayprint.py:219(_array2string)
        4    0.000    0.000    0.000    0.000 arrayprint.py:22(product)
        4    0.000    0.000    0.018    0.005 arrayprint.py:328(array2string)
        1    0.001    0.001    0.001    0.001 arrayprint.py:4(<module>)
      412    0.001    0.000    0.001    0.000 arrayprint.py:440(_extendLine)
    107/4    0.002    0.000    0.015    0.004 arrayprint.py:448(_formatArray)
        1    0.000    0.000    0.000    0.000 arrayprint.py:515(FloatFormat)
       12    0.000    0.000    0.003    0.000 arrayprint.py:516(__init__)
       12    0.001    0.000    0.003    0.000 arrayprint.py:530(fillFormat)
      412    0.006    0.000    0.012    0.000 arrayprint.py:582(__call__)
      412    0.001    0.000    0.001    0.000 arrayprint.py:618(_digits)
        1    0.000    0.000    0.000    0.000 arrayprint.py:626(IntegerFormat)
        4    0.000    0.000    0.000    0.000 arrayprint.py:627(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:643(LongFloatFormat)
       12    0.000    0.000    0.000    0.000 arrayprint.py:646(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:673(LongComplexFormat)
        4    0.000    0.000    0.000    0.000 arrayprint.py:674(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:684(ComplexFormat)
        4    0.000    0.000    0.002    0.000 arrayprint.py:685(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:700(DatetimeFormat)
        4    0.000    0.000    0.000    0.000 arrayprint.py:701(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:728(TimedeltaFormat)
        4    0.000    0.000    0.000    0.000 arrayprint.py:729(__init__)
        1    0.001    0.001    0.002    0.002 arraysetops.py:25(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 art3d.py:154(Line3DCollection)
        3    0.000    0.000    0.004    0.001 art3d.py:159(__init__)
        9    0.000    0.000    0.000    0.000 art3d.py:169(set_segments)
        6    0.000    0.000    0.005    0.001 art3d.py:176(do_3d_projection)
        6    0.000    0.000    0.011    0.002 art3d.py:191(draw)
        1    0.000    0.000    0.000    0.000 art3d.py:202(Patch3D)
        1    0.000    0.000    0.000    0.000 art3d.py:240(PathPatch3D)
        1    0.000    0.000    0.000    0.000 art3d.py:289(Patch3DCollection)
        8    0.000    0.000    0.000    0.000 art3d.py:31(norm_text_angle)
        1    0.000    0.000    0.000    0.000 art3d.py:340(Poly3DCollection)
        1    0.000    0.000    0.004    0.004 art3d.py:345(__init__)
        1    0.000    0.000    0.000    0.000 art3d.py:368(set_zsort)
        1    0.000    0.000    0.004    0.004 art3d.py:390(get_vector)
        1    0.000    0.000    0.004    0.004 art3d.py:412(set_verts)
        2    0.001    0.001    0.074    0.037 art3d.py:428(do_3d_projection)
      200    0.000    0.000    0.000    0.000 art3d.py:455(<lambda>)
        2    0.000    0.000    0.017    0.008 art3d.py:481(set_facecolor)
        1    0.000    0.000    0.000    0.000 art3d.py:486(set_edgecolor)
        2    0.000    0.000    0.000    0.000 art3d.py:491(get_facecolors)
        2    0.000    0.000    0.000    0.000 art3d.py:495(get_edgecolors)
        2    0.000    0.000    0.028    0.014 art3d.py:499(draw)
        1    0.000    0.000    0.000    0.000 art3d.py:52(Text3D)
        1    0.001    0.001    0.001    0.001 art3d.py:9(<module>)
        1    0.000    0.000    0.000    0.000 art3d.py:92(Line3D)
        1    0.002    0.002    0.008    0.008 artist.py:1(<module>)
        3    0.000    0.000    0.003    0.001 artist.py:1136(setp)
       11    0.000    0.000    0.024    0.002 artist.py:1212(kwdoc)
        8    0.000    0.000    0.000    0.000 artist.py:136(have_units)
      463    0.001    0.000    0.001    0.000 artist.py:143(convert_xunits)
      463    0.000    0.000    0.001    0.000 artist.py:153(convert_yunits)
       24    0.000    0.000    0.000    0.000 artist.py:161(set_axes)
     1645    0.002    0.000    0.002    0.000 artist.py:203(pchanged)
       20    0.000    0.000    0.000    0.000 artist.py:211(is_transform_set)
      633    0.001    0.000    0.002    0.000 artist.py:218(set_transform)
      255    0.000    0.000    0.000    0.000 artist.py:229(get_transform)
       26    0.000    0.000    0.000    0.000 artist.py:28(allow_rasterization)
      260    0.000    0.000    0.001    0.000 artist.py:36(before)
      162    0.000    0.000    0.000    0.000 artist.py:394(get_gid)
      112    0.000    0.000    0.000    0.000 artist.py:408(get_snap)
      260    0.000    0.000    0.001    0.000 artist.py:44(after)
        1    0.000    0.000    0.000    0.000 artist.py:441(get_figure)
      507    0.001    0.000    0.001    0.000 artist.py:448(set_figure)
        2    0.000    0.000    0.000    0.000 artist.py:458(set_clip_box)
       67    0.001    0.000    0.013    0.000 artist.py:467(set_clip_path)
       58    0.000    0.000    0.000    0.000 artist.py:520(get_alpha)
      292    0.000    0.000    0.000    0.000 artist.py:527(get_visible)
    260/4    0.002    0.000    0.743    0.186 artist.py:53(draw_wrapper)
       26    0.000    0.000    0.000    0.000 artist.py:531(get_animated)
        3    0.000    0.000    0.000    0.000 artist.py:543(get_clip_path)
      214    0.000    0.000    0.001    0.000 artist.py:566(_set_gc_clip)
      520    0.000    0.000    0.000    0.000 artist.py:576(get_rasterized)
      520    0.000    0.000    0.000    0.000 artist.py:593(get_agg_filter)
        6    0.000    0.000    0.000    0.000 artist.py:608(set_alpha)
      391    0.001    0.000    0.002    0.000 artist.py:648(update)
        1    0.000    0.000    0.000    0.000 artist.py:66(Artist)
        3    0.000    0.000    0.000    0.000 artist.py:666(get_label)
        5    0.000    0.000    0.000    0.000 artist.py:672(set_label)
        4    0.000    0.000    0.000    0.000 artist.py:683(get_zorder)
      150    0.000    0.000    0.000    0.000 artist.py:689(set_zorder)
      135    0.001    0.000    0.001    0.000 artist.py:699(update_from)
      459    0.004    0.000    0.004    0.000 artist.py:74(__init__)
        1    0.000    0.000    0.001    0.001 artist.py:782(ArtistInspector)
       14    0.000    0.000    0.010    0.001 artist.py:788(__init__)
       14    0.004    0.000    0.010    0.001 artist.py:805(get_aliases)
      394    0.002    0.000    0.006    0.000 artist.py:830(get_valid_values)
       11    0.004    0.000    0.007    0.001 artist.py:857(_get_setters_and_targets)
     1617    0.002    0.000    0.002    0.000 artist.py:886(is_alias)
      394    0.000    0.000    0.000    0.000 artist.py:895(aliased_name)
       11    0.001    0.000    0.016    0.001 artist.py:929(pprint_setters)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.007    0.007    0.055    0.055 axes.py:1(<module>)
        2    0.000    0.000    0.000    0.000 axes.py:1053(set_anchor)
        4    0.000    0.000    0.000    0.000 axes.py:1108(apply_aspect)
        1    0.000    0.000    0.000    0.000 axes.py:1400(has_data)
        1    0.000    0.000    0.000    0.000 axes.py:1427(add_collection)
        2    0.000    0.000    0.001    0.000 axes.py:1449(add_line)
        2    0.000    0.000    0.000    0.000 axes.py:1467(_update_line_limits)
        1    0.000    0.000    0.000    0.000 axes.py:157(_process_plot_var_args)
        5    0.000    0.000    0.000    0.000 axes.py:1591(_process_unit_info)
        1    0.000    0.000    0.000    0.000 axes.py:1640(get_autoscale_on)
        4    0.000    0.000    0.000    0.000 axes.py:170(__init__)
        4    0.000    0.000    0.000    0.000 axes.py:175(set_color_cycle)
        2    0.000    0.000    0.000    0.000 axes.py:180(__call__)
        2    0.000    0.000    0.002    0.001 axes.py:1820(autoscale_view)
        4    0.000    0.000    0.097    0.024 axes.py:1883(draw)
        2    0.000    0.000    0.000    0.000 axes.py:197(set_lineprops)
        1    0.000    0.000    0.000    0.000 axes.py:2063(grid)
        2    0.000    0.000    0.000    0.000 axes.py:215(_xy_from_xy)
        1    0.000    0.000    0.000    0.000 axes.py:2308(set_axis_off)
        2    0.000    0.000    0.000    0.000 axes.py:2338(xaxis_inverted)
        2    0.000    0.000    0.000    0.000 axes.py:2343(get_xbound)
        2    0.000    0.000    0.001    0.000 axes.py:2356(set_xbound)
        7    0.000    0.000    0.000    0.000 axes.py:2381(get_xlim)
        5    0.000    0.000    0.002    0.000 axes.py:2387(set_xlim)
        4    0.000    0.000    0.000    0.000 axes.py:2472(get_xscale)
        2    0.000    0.000    0.001    0.001 axes.py:251(_makeline)
        2    0.000    0.000    0.000    0.000 axes.py:2546(yaxis_inverted)
        2    0.000    0.000    0.000    0.000 axes.py:2551(get_ybound)
        2    0.000    0.000    0.001    0.000 axes.py:2559(set_ybound)
        7    0.000    0.000    0.000    0.000 axes.py:2584(get_ylim)
        5    0.000    0.000    0.001    0.000 axes.py:2590(set_ylim)
        4    0.000    0.000    0.000    0.000 axes.py:2676(get_yscale)
        2    0.000    0.000    0.002    0.001 axes.py:279(_plot_args)
        2    0.000    0.000    0.000    0.000 axes.py:2826(set_navigate)
        2    0.000    0.000    0.000    0.000 axes.py:2840(set_navigate_mode)
        2    0.000    0.000    0.000    0.000 axes.py:2966(set_cursor_props)
        4    0.000    0.000    0.002    0.000 axes.py:315(_grab_next_args)
        1    0.000    0.000    0.000    0.000 axes.py:3175(set_xlabel)
        1    0.000    0.000    0.000    0.000 axes.py:3205(set_ylabel)
        1    0.000    0.000    0.003    0.003 axes.py:337(Axes)
