29
         229690 function calls (226275 primitive calls) in 1.378 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 linecache.py:33(getlines)
        1    0.000    0.000    0.005    0.005 linecache.py:68(updatecache)
        1    0.002    0.002    0.005    0.005 shutil.py:5(<module>)
        1    0.005    0.005    0.005    0.005 {method 'readlines' of 'file' objects}
        2    0.002    0.001    0.005    0.003 __init__.py:38(<module>)
      239    0.001    0.000    0.005    0.000 transforms.py:1455(__init__)
      992    0.002    0.000    0.005    0.000 transforms.py:1322(__init__)
        3    0.003    0.001    0.005    0.002 codata.py:780(parse_constants)
     1258    0.002    0.000    0.005    0.000 transforms.py:81(__init__)
        1    0.000    0.000    0.005    0.005 platform.py:792(mac_ver)
        1    0.000    0.000    0.005    0.005 platform.py:771(_mac_ver_xml)
       16    0.000    0.000    0.005    0.000 axis.py:167(set_clip_path)
        1    0.004    0.004    0.005    0.005 chebyshev.py:87(<module>)
        1    0.000    0.000    0.005    0.005 pkg_resources.py:698(subscribe)
        1    0.002    0.002    0.005    0.005 textpath.py:3(<module>)
       29    0.002    0.000    0.005    0.000 linalg.py:1588(slogdet)
    10180    0.005    0.000    0.005    0.000 {isinstance}
        1    0.004    0.004    0.005    0.005 hermite_e.py:59(<module>)
        1    0.001    0.001    0.005    0.005 artist.py:1(<module>)
       19    0.000    0.000    0.005    0.000 pkg_resources.py:2755(<lambda>)
       19    0.000    0.000    0.005    0.000 pkg_resources.py:2252(activate)
        1    0.004    0.004    0.005    0.005 hermite.py:59(<module>)
        1    0.001    0.001    0.005    0.005 cm.py:6(<module>)
        1    0.004    0.004    0.005    0.005 laguerre.py:59(<module>)
        9    0.000    0.000    0.005    0.001 pyparsing_py2.py:1685(__init__)
     3175    0.003    0.000    0.005    0.000 sre_parse.py:130(__getitem__)
        1    0.003    0.003    0.004    0.004 axes3d.py:11(<module>)
       19    0.000    0.000    0.004    0.000 pkg_resources.py:2343(insert_on)
       41    0.000    0.000    0.004    0.000 lines.py:650(get_path)
        1    0.002    0.002    0.004    0.004 sysconfig.py:252(parse_config_h)
  218/152    0.000    0.000    0.004    0.000 {hash}
      167    0.001    0.000    0.004    0.000 cbook.py:1017(dedent)
        1    0.001    0.001    0.004    0.004 __init__.py:60(<module>)
       66    0.001    0.000    0.004    0.000 font_manager.py:689(__hash__)
        1    0.002    0.002    0.004    0.004 numeric.py:1(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:3(<module>)
      376    0.000    0.000    0.004    0.000 pkg_resources.py:1896(_normalize_cached)
      159    0.000    0.000    0.004    0.000 docstring.py:86(dedent)
        1    0.001    0.001    0.004    0.004 legend.py:13(<module>)
       42    0.000    0.000    0.004    0.000 patches.py:162(get_transform)
        3    0.000    0.000    0.004    0.001 figure.py:304(_set_dpi)
        1    0.002    0.002    0.004    0.004 collections.py:1(<module>)
       13    0.004    0.000    0.004    0.000 {built-in method draw_text_image}
     3447    0.004    0.000    0.004    0.000 __init__.py:676(__getitem__)
        1    0.001    0.001    0.004    0.004 index_tricks.py:1(<module>)
       50    0.000    0.000    0.004    0.000 markers.py:589(_set_tickup)
        1    0.001    0.001    0.004    0.004 tempfile.py:18(<module>)
      220    0.001    0.000    0.004    0.000 numeric.py:1884(identity)
      575    0.004    0.000    0.004    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       50    0.000    0.000    0.004    0.000 markers.py:582(_set_tickright)
       50    0.000    0.000    0.004    0.000 markers.py:595(_set_tickdown)
18597/17939    0.003    0.000    0.004    0.000 {len}
